                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.65325,                0.34515,                 0.8185,                0.91804,                0.87714,                0.91544,                0.72562,                0.86623,                0.57417,                0.88197,             0.00063303,             0.00063303,             0.00063303
                     95,                0.63758,                0.34486,                0.81591,                0.90858,                0.88958,                0.91659,                0.71612,                0.88325,                0.58025,                0.88488,             0.00063003,             0.00063003,             0.00063003
                     96,                0.63244,                0.33249,                0.81757,                0.89495,                0.90162,                0.91232,                 0.7231,                0.86765,                0.58874,                0.88205,             0.00062703,             0.00062703,             0.00062703
                     97,                0.62389,                0.33266,                0.81714,                0.88812,                0.88465,                0.91267,                0.71188,                0.88318,                0.60663,                0.88591,             0.00062403,             0.00062403,             0.00062403
                     98,                0.64037,                0.34057,                0.81482,                0.89198,                0.86522,                0.90928,                0.70255,                0.90326,                0.60723,                0.88665,             0.00062103,             0.00062103,             0.00062103
                     99,                 0.6167,                0.33169,                0.81718,                0.89695,                 0.8774,                0.91405,                0.72191,                0.89622,                0.63728,                 0.8826,             0.00061803,             0.00061803,             0.00061803
                    100,                0.60502,                0.32464,                0.80736,                0.86758,                0.87307,                0.91123,                0.70642,                0.89685,                0.61627,                0.88725,             0.00061503,             0.00061503,             0.00061503
                    101,                0.62618,                0.33099,                0.81281,                0.89791,                0.84393,                0.90196,                0.69892,                0.88358,                0.62166,                0.88604,             0.00061203,             0.00061203,             0.00061203
                    102,                0.62757,                0.33571,                0.81655,                0.91492,                0.82874,                 0.9023,                0.70209,                0.88237,                 0.5955,                0.88523,             0.00060903,             0.00060903,             0.00060903
                    103,                0.63593,                0.33479,                0.81413,                0.86948,                0.85074,                0.90688,                0.72415,                0.83514,                0.59174,                0.87596,             0.00060603,             0.00060603,             0.00060603
                    104,                0.60445,                 0.3224,                0.81533,                 0.8736,                0.89974,                0.91503,                0.73579,                0.82841,                0.56201,                0.87477,             0.00060303,             0.00060303,             0.00060303
                    105,                 0.6139,                0.32764,                0.81634,                0.90535,                0.87529,                0.91409,                0.70944,                0.89112,                 0.5768,                0.89019,             0.00060003,             0.00060003,             0.00060003
                    106,                0.63069,                0.33569,                0.81368,                0.90723,                 0.8742,                0.91396,                0.70115,                0.92703,                0.63304,                0.90011,             0.00059703,             0.00059703,             0.00059703
                    107,                0.62006,                0.33292,                0.81102,                0.86785,                0.89796,                0.92114,                 0.6959,                0.97333,                0.62751,                0.90561,             0.00059403,             0.00059403,             0.00059403
                    108,                0.66917,                0.34633,                0.81769,                0.90363,                0.85963,                0.90449,                0.70001,                0.93183,                0.59935,                0.89568,             0.00059103,             0.00059103,             0.00059103
                    109,                0.65191,                 0.3406,                0.81463,                0.92521,                0.86483,                0.90888,                0.71667,                0.85308,                0.58722,                0.88262,             0.00058803,             0.00058803,             0.00058803
                    110,                0.64358,                0.33342,                0.81426,                0.88284,                0.90748,                0.91808,                0.70316,                0.92589,                0.58993,                0.89576,             0.00058503,             0.00058503,             0.00058503
                    111,                0.61643,                0.32284,                 0.8148,                0.90882,                0.88361,                0.91783,                0.71533,                0.93218,                0.58716,                0.89233,             0.00058203,             0.00058203,             0.00058203
                    112,                0.60367,                 0.3245,                0.81047,                 0.8949,                0.88132,                0.91461,                0.70549,                0.91141,                0.60453,                0.88997,             0.00057903,             0.00057903,             0.00057903
                    113,                0.61217,                0.32802,                0.81695,                0.89622,                0.88576,                0.91646,                0.72916,                0.85155,                0.58705,                 0.8802,             0.00057603,             0.00057603,             0.00057603
                    114,                0.58971,                0.31312,                0.81088,                0.89997,                0.87695,                0.91953,                0.72697,                0.85492,                0.57405,                0.88386,             0.00057303,             0.00057303,             0.00057303
                    115,                0.60416,                 0.3221,                0.81063,                0.87947,                0.89392,                0.91639,                 0.7213,                0.86316,                0.59219,                0.88117,             0.00057003,             0.00057003,             0.00057003
                    116,                0.61622,                0.32362,                0.81445,                0.87211,                 0.8895,                0.91202,                 0.7127,                0.85864,                0.58377,                0.88289,             0.00056703,             0.00056703,             0.00056703
                    117,                0.60757,                0.32297,                0.80906,                0.90443,                0.84587,                0.91658,                0.71885,                0.88222,                0.57967,                0.88824,             0.00056403,             0.00056403,             0.00056403
                    118,                0.61481,                0.32355,                0.81541,                0.87949,                0.88574,                0.91335,                0.70569,                0.92529,                0.58889,                0.89377,             0.00056103,             0.00056103,             0.00056103
                    119,                0.59768,                0.31673,                   0.81,                0.91205,                0.86169,                0.92086,                  0.714,                 0.9315,                0.58979,                0.89177,             0.00055804,             0.00055804,             0.00055804
                    120,                0.58194,                0.31399,                0.80858,                0.90573,                 0.8642,                0.91147,                0.72987,                 0.8387,                0.59692,                0.87292,             0.00055504,             0.00055504,             0.00055504
